📊 Circuit Breaker 실시간 메트릭 수집 시작
🔗 Target: T1 localhost:8080/api/circuit-breaker/status
📈 실시간 메트릭 수집 시작 (5초 간격)
[2025-08-20 21:11:55] State: CLOSED | Failures: 0 | Requests: 153 | Success: 100.00% | Avg: 4.11ms
[2025-08-20 21:12:00] State: CLOSED | Failures: 0 | Requests: 153 | Success: 100.00% | Avg: 4.11ms
[2025-08-20 21:12:05] State: CLOSED | Failures: 0 | Requests: 153 | Success: 100.00% | Avg: 4.11ms
[2025-08-20 21:12:10] State: CLOSED | Failures: 0 | Requests: 154 | Success: 100.00% | Avg: 4.10ms
[2025-08-20 21:12:15] State: CLOSED | Failures: 0 | Requests: 154 | Success: 100.00% | Avg: 4.10ms
[2025-08-20 21:12:20] State: CLOSED | Failures: 0 | Requests: 154 | Success: 100.00% | Avg: 4.10ms
[2025-08-20 21:12:25] State: CLOSED | Failures: 0 | Requests: 155 | Success: 100.00% | Avg: 4.08ms
[2025-08-20 21:12:30] State: CLOSED | Failures: 0 | Requests: 155 | Success: 100.00% | Avg: 4.08ms
[2025-08-20 21:12:35] State: CLOSED | Failures: 0 | Requests: 155 | Success: 100.00% | Avg: 4.08ms
[2025-08-20 21:12:40] State: CLOSED | Failures: 0 | Requests: 156 | Success: 100.00% | Avg: 4.07ms
[2025-08-20 21:12:45] State: CLOSED | Failures: 0 | Requests: 156 | Success: 100.00% | Avg: 4.07ms
[2025-08-20 21:12:50] State: CLOSED | Failures: 0 | Requests: 156 | Success: 100.00% | Avg: 4.07ms
[2025-08-20 21:12:55] State: CLOSED | Failures: 0 | Requests: 157 | Success: 100.00% | Avg: 4.05ms
[2025-08-20 21:13:00] State: CLOSED | Failures: 0 | Requests: 157 | Success: 100.00% | Avg: 4.05ms
[2025-08-20 21:13:05] State: CLOSED | Failures: 0 | Requests: 157 | Success: 100.00% | Avg: 4.05ms
[2025-08-20 21:13:11] State: CLOSED | Failures: 0 | Requests: 158 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:16] State: CLOSED | Failures: 0 | Requests: 158 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:21] State: CLOSED | Failures: 0 | Requests: 158 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:26] State: CLOSED | Failures: 0 | Requests: 159 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:31] State: CLOSED | Failures: 0 | Requests: 159 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:36] State: CLOSED | Failures: 0 | Requests: 159 | Success: 100.00% | Avg: 4.04ms
[2025-08-20 21:13:41] State: CLOSED | Failures: 0 | Requests: 160 | Success: 100.00% | Avg: 4.03ms
[2025-08-20 21:13:46] State: CLOSED | Failures: 0 | Requests: 160 | Success: 100.00% | Avg: 4.03ms
